1 About IN 20 CD null null 0
1 in IN traditional JJ kids NNS 0
1 on IN stairs NNS waiting VBG 1
2 with IN gate NN wall NN 0
2 in IN the DT gate NN 1
3 that IN plants NNS saying VBG 0
3 on IN the DT up RB 1
4 in IN the DT hole NN 1
4 by IN sand NN surrounded VBD 1
5 in IN a DT man NN 0
6 in IN the DT columns NN 1
7 in IN front NN trees NNS 1
7 of IN the DT front NN 0
8 in IN front NN parked VBN 1
8 of IN the DT front NN 0
9 over IN the DT walking VBG 1
10 on IN the DT building NN 1
10 in IN centre NN tree NN 1
10 of IN picture NN centre NN 0
10 in IN centre NN tree NN 1
10 at IN a DT street NN 1
10 of IN picture NN centre NN 0
11 in IN a DT umbrellas NNS 1
11 on IN the DT park NN 1
12 through IN the DT walking VBG 1
12 in IN the DT road NN 1
13 with IN spread NN statue NN 0
13 on IN a DT arms NNS 1
14 from IN behind IN taken VBN 0
15 on IN the DT trees NNS 1
17 in IN the DT clouds NNS 1
18 of IN a DT View NN 0
18 with IN many JJ city NN 0
19 in IN the DT stadium NN 1
20 in IN the DT waterfall NN 1
20 of IN the DT middle NN 0
21 with IN pool NN view NN 0
21 of IN dirty NN pool NN 0
21 in IN the DT water NN 1
22 in IN a DT man NN 1
22 on IN a DT waterfalls NNS 1
22 in IN a DT man NN 1
23 in IN the DT sky NN 1
24 of IN giant NN View NN 0
24 over IN a DT waterfalls NNS 1
25 in IN a DT clouds NNS 1
25 in IN a DT clouds NNS 1
26 with IN high JJ dam NN 0
27 with IN white JJ sky NN 0
27 in IN the DT clouds NNS 1
28 among IN them PRP null null 1
28 with IN colourful NN street NN 0
28 in IN front NN parked VBN 1
28 of IN it PRP front NN 0
28 on IN both DT houses NNS 1
30 in IN the DT people NNS 1
30 in IN the DT people NNS 1
31 with IN pinnacles NNS towers NNS 0
32 with IN windows NNS tower NN 0
32 with IN windows NNS tower NN 0
33 on IN top NN cross NN 1
34 of IN an DT View NN 0
34 of IN an DT View NN 0
34 in IN the DT alleys NNS 1
